#time,accel_x,accel_y,accel_z
36.532760,-9622.677246,1149.143247,-666.185348
36.533070,-8956.491898,-76.609550,666.185348
36.533379,-9770.718434,1455.581446,-296.082377
36.533689,-9400.615463,1378.971896,-148.041188
36.533998,-9104.533087,1915.238745,0.000000
36.534307,-9622.677246,1608.800546,0.000000
36.534617,-10955.047942,1225.752797,1628.453072
36.534926,-9548.656652,2145.067394,-222.061783
36.535236,-8882.471304,1762.019645,-148.041188
36.535545,-10140.821405,766.095498,74.020594
36.535855,-9104.533087,1378.971896,-222.061783
36.536164,-9548.656652,1685.410096,-148.041188
36.536473,-9548.656652,1455.581446,-148.041188
36.536783,-9474.636058,1608.800546,-222.061783
36.537092,-9474.636058,1915.238745,-296.082377
36.537402,-8290.306550,-536.266849,-296.082377
36.537711,-9548.656652,1225.752797,-222.061783
36.538021,-9696.697840,1762.019645,-444.123565
36.538330,-9400.615463,1915.238745,-518.144159
36.538639,-9030.512492,1149.143247,-148.041188
36.538949,-11177.109724,1225.752797,-814.226536
36.539258,-9326.594869,1685.410096,-444.123565
36.539568,-9844.739029,1378.971896,-296.082377
36.539877,-9622.677246,1149.143247,-518.144159
36.540187,-9252.574275,3677.258390,-518.144159
36.540496,-9770.718434,1762.019645,222.061783
36.540805,-9400.615463,1378.971896,0.000000
36.541115,-9474.636058,1455.581446,-148.041188
36.541424,-9030.512492,1225.752797,0.000000
36.541734,-11917.315666,1532.190996,1406.391290
36.542043,-8734.430116,1532.190996,-814.226536
36.542353,-9622.677246,1532.190996,-296.082377
36.542662,-9474.636058,1302.362347,-518.144159
36.542971,-9474.636058,1685.410096,0.000000
36.543281,-10955.047942,-0.000000,1258.350101
36.543590,-9326.594869,1762.019645,0.000000
36.543900,-8956.491898,1608.800546,-296.082377
36.544209,-9252.574275,1455.581446,-592.164754
36.544519,-8882.471304,995.924147,-444.123565
36.544828,-9474.636058,1838.629195,-888.247130
36.545137,-9400.615463,2221.676944,-148.041188
36.545447,-9400.615463,1532.190996,0.000000
36.545756,-9326.594869,1149.143247,370.102971
36.546066,-9770.718434,1838.629195,444.123565
36.546375,-9178.553681,2068.457845,-296.082377
36.546685,-9104.533087,1762.019645,-740.205942
36.546994,-9474.636058,1225.752797,-148.041188
36.547303,-9918.759623,842.705048,74.020594
36.547613,-8956.491898,1378.971896,0.000000
36.547922,-9252.574275,1915.238745,0.000000
36.548232,-9474.636058,2145.067394,-740.205942
36.548541,-8734.430116,1608.800546,-222.061783
36.548851,-9104.533087,-3294.210641,-74.020594
36.549160,-10066.800811,612.876398,74.020594
36.549469,-9770.718434,1455.581446,-296.082377
36.549779,-9770.718434,1915.238745,-962.267725
36.550088,-9252.574275,1685.410096,-148.041188
36.550398,-10658.965565,1608.800546,0.000000
36.550707,-8956.491898,1608.800546,-370.102971
36.551016,-9400.615463,1302.362347,74.020594
36.551326,-9918.759623,1302.362347,-444.123565
36.551635,-8734.430116,1302.362347,-2960.823768
36.551945,-9548.656652,1991.848295,0.000000
36.552254,-9400.615463,459.657299,0.000000
36.552564,-9178.553681,995.924147,-222.061783
36.552873,-9400.615463,1991.848295,-370.102971
36.553182,-9992.780217,1378.971896,888.247130
36.553492,-8956.491898,1455.581446,74.020594
36.553801,-9326.594869,1608.800546,0.000000
36.554111,-9770.718434,1302.362347,-370.102971
36.554420,-9770.718434,1532.190996,0.000000
36.554730,-9622.677246,1302.362347,-666.185348
36.555039,-8956.491898,1302.362347,-222.061783
36.555348,-9474.636058,1532.190996,-444.123565
36.555658,-8956.491898,1455.581446,296.082377
36.555967,-10732.986159,-1378.971896,0.000000
36.556277,-9844.739029,1915.238745,0.000000
36.556586,-9474.636058,1991.848295,-148.041188
36.556896,-9474.636058,689.485948,-148.041188
36.557205,-9400.615463,1225.752797,-296.082377
36.557514,-9104.533087,-0.000000,0.000000
36.557824,-9104.533087,842.705048,0.000000
36.558133,-9178.553681,1685.410096,0.000000
36.558443,-9252.574275,2221.676944,-592.164754
36.558752,-9918.759623,689.485948,148.041188
36.559062,-9770.718434,612.876398,0.000000
36.559371,-9548.656652,1072.533697,0.000000
36.559680,-9474.636058,1455.581446,-222.061783
36.559990,-9326.594869,1302.362347,-148.041188
36.560299,-9770.718434,2681.334243,444.123565
36.560609,-9104.533087,1302.362347,0.000000
36.560918,-9548.656652,1991.848295,0.000000
36.561228,-9104.533087,1608.800546,0.000000
36.561537,-9918.759623,1532.190996,-148.041188
36.561846,-9474.636058,2681.334243,-592.164754
36.562156,-9474.636058,1149.143247,-370.102971
36.562465,-9252.574275,383.047749,74.020594
36.562775,-9178.553681,1378.971896,0.000000
36.563084,-10955.047942,-3064.381992,1184.329507
36.563394,-9104.533087,1302.362347,370.102971
36.563703,-9252.574275,766.095498,148.041188
36.564012,-9844.739029,766.095498,0.000000
36.564322,-10214.842000,1149.143247,0.000000
36.564631,-11991.336260,383.047749,0.000000
36.564941,-9030.512492,1302.362347,-296.082377
36.565250,-8956.491898,1378.971896,0.000000
36.565560,-8808.450710,1072.533697,444.123565
36.565869,-9252.574275,3370.820191,0.000000
36.566178,-9770.718434,1608.800546,74.020594
36.566488,-10214.842000,1608.800546,-222.061783
36.566797,-9400.615463,1378.971896,-296.082377
36.567107,-9696.697840,995.924147,74.020594
36.567416,-9474.636058,2221.676944,-1554.432478
36.567726,-9400.615463,1762.019645,222.061783
