#time,accel_x,accel_y,accel_z
115.312328,-0.000000,9992.780217,-1991.848295
115.312638,-370.102971,9030.512492,-2145.067394
115.312947,-74.020594,9474.636058,-1532.190996
115.313257,-0.000000,10214.842000,-919.314598
115.313566,-1480.411884,9548.656652,-1072.533697
115.313876,740.205942,9992.780217,-383.047749
115.314185,-74.020594,8734.430116,-2298.286494
115.314495,-0.000000,9252.574275,-1762.019645
115.314804,-592.164754,9696.697840,-995.924147
115.315114,1036.288319,9918.759623,-1225.752797
115.315423,148.041188,9918.759623,-1149.143247
115.315733,370.102971,10066.800811,-1149.143247
115.316042,296.082377,9104.533087,-995.924147
115.316352,-518.144159,8586.388927,-1685.410096
115.316661,444.123565,10288.862594,-1225.752797
115.316971,-0.000000,9030.512492,-1072.533697
115.317281,370.102971,8808.450710,-1072.533697
115.317590,592.164754,9622.677246,-306.438199
115.317900,-444.123565,11103.089130,1378.971896
115.318209,666.185348,7846.182985,689.485948
115.318519,2738.761985,5921.647536,1072.533697
115.318828,4959.379811,7772.162391,3600.648841
115.319138,2590.720797,7698.141797,9729.412825
115.319447,-2886.803174,6661.853478,13406.671215
115.319757,4219.173869,8512.368333,8656.879127
115.320066,7476.080014,8142.265362,1838.629195
115.320376,1850.514855,7031.956449,4366.744339
115.320685,-4589.276840,9548.656652,14479.204912
115.320995,888.247130,11621.233289,12027.699319
115.321304,2220.617826,9918.759623,4060.306139
115.321614,370.102971,12583.501014,7967.393179
115.321923,-1036.288319,11769.274478,12410.747068
115.322233,-15174.221811,8734.430116,9882.631924
115.322542,26499.372724,20133.601622,-6818.249932
115.322852,-14359.995275,9474.636058,3677.258390
115.323161,-9104.533087,15766.386565,23289.303139
115.323471,-11917.315666,9178.553681,24132.008187
115.323780,3034.844362,10732.986159,0.000000
115.324090,10214.842000,15988.448347,-3753.867940
115.324399,-14878.139434,6661.853478,11414.822920
115.324709,-1628.453072,12879.583391,6358.592633
115.325019,-1998.556043,3775.050304,3753.867940
115.325328,-2886.803174,10807.006753,5592.497135
115.325638,222.061783,5403.503377,17620.196454
115.325947,-0.000000,2812.782580,12334.137518
115.326257,-1850.514855,3034.844362,14172.766713
115.326566,-1480.411884,2664.741391,18233.072852
115.326876,2590.720797,8290.306550,5515.887586
115.327185,-3182.885551,4515.256246,1532.190996
115.327495,1702.473667,16210.510130,4290.134789
115.327804,1110.308913,11251.130318,-459.657299
115.328114,4441.235652,14063.912898,306.438199
115.328423,-0.000000,11029.068536,21220.845295
115.328733,-1924.535449,5995.668130,24591.665486
115.329042,3478.967927,5329.482782,15858.176809
115.329352,1036.288319,5329.482782,9576.193725
115.329661,666.185348,11029.068536,6128.763984
115.329971,6587.832884,13693.809927,-4136.915689
115.330280,4219.173869,17172.777854,-3524.039291
115.330590,-1184.329507,14804.118840,13483.280765
115.330899,-7402.059420,13841.851115,17926.634653
115.331209,-2812.782580,11177.109724,9576.193725
115.331518,2294.638420,10436.903782,-536.266849
115.331828,4663.297435,8068.244768,-4060.306139
115.332137,-740.205942,8364.327145,4979.620737
115.332447,370.102971,10732.986159,14709.033562
115.332757,-962.267725,9178.553681,16317.834107
115.333066,3034.844362,7179.997637,7201.297681
115.333376,3034.844362,4811.338623,2604.724693
115.333685,-5255.462188,222.061783,3064.381992
115.333995,-4663.297435,6587.832884,5362.668486
115.334304,1850.514855,9918.759623,-3447.429741
115.334614,8216.285956,7994.224174,-6665.030833
115.334923,1998.556043,6735.874072,7967.393179
115.335233,-7698.141797,8290.306550,23672.350888
115.335542,-3552.988522,9696.697840,19075.777900
115.335852,4959.379811,10214.842000,306.438199
115.336161,3330.926739,10066.800811,-5898.935335
115.336471,-1480.411884,8586.388927,-459.657299
115.336780,-6661.853478,12657.521608,1532.190996
115.337090,6143.709319,14804.118840,-6588.421283
115.337399,8290.306550,13027.624579,536.266849
115.337709,-4219.173869,8734.430116,23212.693589
115.338018,-3404.947333,5773.606348,28651.971625
115.338328,6661.853478,3849.070898,8733.488677
115.338637,888.247130,9622.677246,3447.429741
115.338947,5551.544565,3256.906145,2834.553343
115.339256,2886.803174,814.226536,-2987.772442
115.339566,4219.173869,3923.091493,-3294.210641
115.339876,-15544.324782,-1480.411884,24285.227287
115.340185,10362.883188,20355.663405,20761.187996
115.340495,5107.421000,2738.761985,2604.724693
115.340804,-8512.368333,8586.388927,7584.345430
115.341114,592.164754,15396.283594,13483.280765
115.341423,7994.224174,9178.553681,-14479.204912
115.341733,1998.556043,15988.448347,-3600.648841
115.342042,-7328.038826,15988.448347,27119.780629
115.342352,-0.000000,13619.789333,11414.822920
115.342661,-1554.432478,11177.109724,-1915.238745
115.342971,-6735.874072,16062.468941,11031.775171
115.343280,1258.350101,14359.995275,4366.744339
115.343590,3775.050304,12435.459826,-11184.994271
115.343899,74.020594,12583.501014,-689.485948
115.344209,-6365.771101,11621.233289,17007.320056
115.344518,444.123565,16802.674883,7201.297681
115.344828,1184.329507,8512.368333,-4519.963438
115.345137,592.164754,11251.130318,3294.210641
115.345447,-3552.988522,8734.430116,9576.193725
115.345756,592.164754,4219.173869,2528.115143
115.346066,4737.318029,3701.029710,4903.011187
115.346375,740.205942,2590.720797,13866.328514
115.346685,222.061783,-740.205942,2451.505594
115.346994,4071.132681,2960.823768,1532.190996
115.347304,-3182.885551,9548.656652,10955.165621
115.347614,-3478.967927,7994.224174,7814.174080
115.347923,4441.235652,13027.624579,-1685.410096
115.348233,-1628.453072,7402.059420,-5975.544884
115.348542,-3923.091493,5033.400406,-3830.477490
115.348852,-1332.370696,11843.295072,-153.219100
115.349161,-1776.494261,11917.315666,4136.915689
115.349471,-592.164754,14285.974681,5822.325785
115.349780,4885.359217,17024.736666,4903.011187
115.350090,3701.029710,10066.800811,-1762.019645
115.350399,1258.350101,7402.059420,-2221.676944
115.350709,1480.411884,8882.471304,4826.401637
115.351018,-2812.782580,9548.656652,2681.334243
115.351328,1850.514855,12361.439231,-6281.983084
115.351637,2738.761985,12361.439231,-8350.440928
115.351947,-1406.391290,7328.038826,-5669.106685
115.352256,-1628.453072,10436.903782,1302.362347
115.352566,-2442.679609,9178.553681,3983.696590
115.352875,-1258.350101,8438.347739,1455.581446
115.353185,4811.338623,10584.944971,-3217.601092
115.353494,1480.411884,5699.585753,-7124.688131
115.353804,296.082377,10140.821405,-612.876398
115.354113,-4293.194464,9696.697840,3447.429741
115.354423,-3775.050304,12731.542202,3447.429741
115.354732,5699.585753,11399.171507,-9729.412825
115.355042,3701.029710,6439.791695,-14862.252661
115.355352,-5699.585753,6513.812290,-306.438199
115.355661,-3849.070898,6365.771101,6971.469032
115.355971,3108.864956,7698.141797,995.924147
115.356280,3627.009116,6587.832884,-1762.019645
115.356590,5403.503377,3923.091493,-919.314598
115.356899,-296.082377,4885.359217,3140.991542
115.357209,222.061783,11547.212695,1302.362347
115.357518,222.061783,11251.130318,-2528.115143
115.357828,3775.050304,11843.295072,-7048.078582
115.358137,6291.750507,11695.253884,-9882.631924
115.358447,1924.535449,9474.636058,-4290.134789
115.358756,-4293.194464,10732.986159,5515.887586
115.359066,-4071.132681,9030.512492,10189.070123
115.359375,9030.512492,10362.883188,-995.924147
115.359685,6365.771101,6513.812290,-10342.289223
115.359994,-3775.050304,9400.615463,766.095498
115.360304,-3108.864956,9918.759623,1991.848295
115.360613,-4219.173869,8142.265362,-5132.839837
115.360923,-1110.308913,15026.180623,-5592.497135
115.361232,1480.411884,12731.542202,-8580.269578
115.361542,2442.679609,8808.450710,-11644.651570
115.361851,-3701.029710,9844.739029,4673.182538
115.362161,-7179.997637,7772.162391,19382.216099
115.362471,3923.091493,11843.295072,3524.039291
115.362780,9178.553681,3404.947333,-7124.688131
115.363090,-2294.638420,5477.523971,3753.867940
115.363399,-6957.935855,11103.089130,10725.336972
115.363709,-0.000000,9030.512492,229.828649
115.364018,-1036.288319,11621.233289,-6511.811733
115.364328,-1110.308913,15100.201217,-5286.058936
115.364637,-444.123565,4885.359217,-9576.193725
115.364947,1480.411884,10288.862594,-3524.039291
115.365256,-5403.503377,13101.645173,10801.946522
115.365566,-592.164754,8956.491898,7584.345430
115.365875,6587.832884,8216.285956,-689.485948
115.366185,1924.535449,5033.400406,-536.266849
115.366494,-4145.153275,8216.285956,3830.477490
115.366804,-4145.153275,7476.080014,2604.724693
115.367113,-3849.070898,8956.491898,-3294.210641
115.367423,1924.535449,11843.295072,-7584.345430
115.367732,5107.421000,9696.697840,-15321.909960
115.368042,-2072.576638,7624.121203,-7048.078582
115.368351,-4663.297435,10140.821405,6894.859482
115.368661,-4663.297435,5255.462188,8810.098227
115.368970,3923.091493,7994.224174,2451.505594
115.369279,6587.832884,8068.244768,-4826.401637
115.369589,-0.000000,4441.235652,-612.876398
115.369898,-3627.009116,12805.562797,6205.373534
115.370208,-3182.885551,11251.130318,1762.019645
115.370517,4219.173869,14211.954086,-11108.384721
115.370827,5403.503377,11991.336260,-13100.233016
115.371136,2072.576638,12731.542202,-3830.477490
115.371446,-5773.606348,13545.768739,6052.154434
115.371755,-3849.070898,10510.924376,10955.165621
115.372065,7476.080014,10214.842000,1455.581446
115.372374,6217.729913,5773.606348,-8120.612279
115.372684,-3701.029710,5329.482782,2451.505594
115.372993,-3923.091493,9770.718434,9269.755526
115.373302,-666.185348,10732.986159,-4060.306139
115.373612,3923.091493,10807.006753,-10495.508323
115.373921,-0.000000,11399.171507,-6128.763984
115.374231,-222.061783,5625.565159,-2451.505594
115.374540,370.102971,9104.533087,2911.162892
115.374850,-2664.741391,8364.327145,6665.030833
115.375159,2960.823768,4071.132681,2068.457845
115.375469,6143.709319,6069.688724,-3600.648841
115.375778,-444.123565,5921.647536,-2451.505594
115.376088,-2590.720797,7550.100608,2298.286494
115.376397,-370.102971,7994.224174,-1762.019645
115.376707,-1480.411884,11177.109724,-6205.373534
115.377016,-2146.597232,13471.748144,-7507.735880
115.377326,5551.544565,10732.986159,-11414.822920
115.377635,-0.000000,11473.192101,-6128.763984
115.377944,-5403.503377,14285.974681,8044.002729
115.378254,-74.020594,9326.594869,9806.022374
115.378563,7698.141797,7994.224174,-1685.410096
115.378873,2294.638420,7105.977043,-1608.800546
115.379182,-5255.462188,6143.709319,9116.536426
115.379492,-1924.535449,8734.430116,1455.581446
115.379801,-2886.803174,7994.224174,-4136.915689
115.380111,222.061783,12879.583391,-5592.497135
115.380420,-296.082377,9252.574275,-10265.679673
115.380730,-1776.494261,7994.224174,-7507.735880
115.381039,-2812.782580,13767.830521,4979.620737
115.381349,-1332.370696,9474.636058,5669.106685
115.381658,-1258.350101,9178.553681,2451.505594
115.381967,2960.823768,7105.977043,1302.362347
115.382277,-2886.803174,4515.256246,2451.505594
115.382586,-1406.391290,9844.739029,459.657299
115.382896,-1554.432478,5625.565159,-2451.505594
115.383205,-2590.720797,9992.780217,-3294.210641
115.383515,-518.144159,11325.150913,-4136.915689
115.383824,-74.020594,9474.636058,-10878.556072
115.384134,-2516.700203,12213.398043,-4903.011187
115.384443,-370.102971,10436.903782,1762.019645
115.384753,-222.061783,8808.450710,1838.629195
115.385062,3108.864956,8364.327145,1762.019645
115.385372,4219.173869,3627.009116,1455.581446
115.385681,2072.576638,7550.100608,1072.533697
115.385991,-3256.906145,9326.594869,6052.154434
115.386300,-2664.741391,10881.027347,4213.525239
115.386609,3849.070898,14730.098246,-11031.775171
115.386919,5255.462188,11621.233289,-15475.129060
115.387228,-444.123565,14359.995275,-2987.772442
115.387538,-4589.276840,12361.439231,3907.087040
115.387847,2146.597232,10436.903782,3753.867940
115.388157,7031.956449,10288.862594,4443.353888
115.388466,148.041188,5403.503377,4673.182538
115.388776,370.102971,4811.338623,3600.648841
115.389085,-1480.411884,7846.182985,1991.848295
115.389395,-2368.659014,8734.430116,1838.629195
115.389704,-370.102971,12509.480420,-3140.991542
115.390014,1406.391290,12361.439231,-11874.480219
115.390323,-0.000000,10436.903782,-9729.412825
115.390632,-962.267725,13693.809927,3524.039291
115.390942,-4515.256246,8956.491898,5439.278036
115.391251,296.082377,7624.121203,4290.134789
115.391561,2220.617826,4663.297435,1838.629195
115.391870,888.247130,444.123565,-995.924147
115.392180,-740.205942,7402.059420,5132.839837
115.392489,-4515.256246,6957.935855,2757.943793
115.392799,-1480.411884,9104.533087,-2987.772442
115.393108,5403.503377,14137.933492,-12563.966167
115.393418,2516.700203,8882.471304,-13713.109414
115.393727,-6143.709319,12953.603985,612.876398
115.394037,888.247130,11843.295072,7048.078582
115.394346,1702.473667,11695.253884,0.000000
115.394656,3404.947333,10066.800811,-1149.143247
115.394965,666.185348,3108.864956,-995.924147
115.395274,814.226536,6513.812290,1072.533697
115.395584,-592.164754,11029.068536,-459.657299
115.395893,-4219.173869,8512.368333,2221.676944
115.396203,3330.926739,14656.077652,-4366.744339
115.396512,3775.050304,9770.718434,-14325.985813
115.396822,-0.000000,10658.965565,-7354.516781
115.397131,-5181.441594,13989.892304,5132.839837
115.397441,-222.061783,7698.141797,6052.154434
115.397750,3701.029710,9252.574275,-2451.505594
115.398060,3404.947333,7105.977043,-4060.306139
115.398369,-1850.514855,5329.482782,-689.485948
115.398679,-4515.256246,8438.347739,1302.362347
115.398988,-6291.750507,7698.141797,-766.095498
115.399297,1998.556043,9844.739029,-10955.165621
115.399607,2738.761985,9918.759623,-14479.204912
115.399916,-2516.700203,9622.677246,-9346.365076
115.400226,-3256.906145,9178.553681,1685.410096
115.400535,-2368.659014,9178.553681,2757.943793
115.400845,2886.803174,8438.347739,-1072.533697
115.401154,4219.173869,5551.544565,-3983.696590
115.401464,-0.000000,4515.256246,-4366.744339
115.401773,-1702.473667,6069.688724,2911.162892
115.402083,-2738.761985,8882.471304,4443.353888
115.402392,-0.000000,12287.418637,-4060.306139
115.402702,6883.915261,13027.624579,-11031.775171
115.403011,2146.597232,12435.459826,-10725.336972
115.403321,-814.226536,11769.274478,-2834.553343
115.403630,-3256.906145,17246.798449,5592.497135
115.403939,1554.432478,13693.809927,3370.820191
115.404249,7105.977043,12065.356855,-4290.134789
115.404558,2738.761985,7328.038826,-3524.039291
115.404868,-1332.370696,7105.977043,4213.525239
115.405177,-2294.638420,7994.224174,4903.011187
115.405487,-3256.906145,6883.915261,1378.971896
115.405796,3997.112087,11103.089130,-6818.249932
115.406106,2590.720797,7772.162391,-10801.946522
115.406415,-1850.514855,7179.997637,-842.705048
115.406725,-5995.668130,12953.603985,2221.676944
115.407034,-1036.288319,6513.812290,76.609550
115.407344,2960.823768,9474.636058,-3370.820191
115.407653,1258.350101,5477.523971,-5132.839837
115.407962,148.041188,4441.235652,1608.800546
115.408272,-3701.029710,5847.626942,7814.174080
115.408581,-7105.977043,4811.338623,5822.325785
115.408891,2664.741391,7179.997637,-4903.011187
115.409200,1554.432478,5995.668130,-12947.013916
115.409510,1036.288319,9252.574275,-8273.831378
115.409819,-2812.782580,14211.954086,-612.876398
115.410129,-2516.700203,11547.212695,-842.705048
115.410438,222.061783,11325.150913,2068.457845
115.410748,6513.812290,10807.006753,4290.134789
115.411057,-222.061783,4737.318029,-1608.800546
115.411367,-1628.453072,10214.842000,6511.811733
115.411676,-1332.370696,8808.450710,7354.516781
115.411985,3552.988522,10066.800811,-2145.067394
115.412295,6143.709319,13397.727550,-6741.640382
115.412604,-814.226536,12287.418637,-5745.716235
115.412914,148.041188,14730.098246,-1302.362347
115.413223,-1924.535449,15618.345376,-1991.848295
115.413533,-2146.597232,11473.192101,-1532.190996
115.413842,6883.915261,13619.789333,-2145.067394
115.414152,2368.659014,3997.112087,-4366.744339
115.414461,-2960.823768,5699.585753,4290.134789
115.414771,-6365.771101,6587.832884,12027.699319
115.415080,-2960.823768,2220.617826,842.705048
115.415390,5847.626942,8734.430116,-13176.842566
115.415699,-0.000000,6291.750507,-11644.651570
115.416009,-7328.038826,9770.718434,-1225.752797
115.416318,-1184.329507,11621.233289,2221.676944
115.416627,-2294.638420,8586.388927,-4443.353888
115.416937,2368.659014,7476.080014,229.828649
115.417246,296.082377,6217.729913,-1762.019645
115.417556,-4219.173869,4959.379811,-2068.457845
115.417865,-2738.761985,5995.668130,3294.210641
115.418175,-814.226536,11029.068536,1302.362347
115.418484,2442.679609,11399.171507,-7890.783629
115.418794,3627.009116,13619.789333,-8963.317327
115.419103,-4219.173869,9622.677246,-3983.696590
115.419413,-1702.473667,15618.345376,0.000000
115.419722,-0.000000,11621.233289,-689.485948
115.420032,1776.494261,12139.377449,766.095498
115.420341,2294.638420,12583.501014,919.314598
115.420650,518.144159,4885.359217,2987.772442
115.420960,-592.164754,8216.285956,2834.553343
115.421269,-4811.338623,9844.739029,2834.553343
115.421579,1258.350101,10510.924376,-4903.011187
115.421888,3552.988522,12213.398043,-12104.308868
115.422198,-1036.288319,9326.594869,-6818.249932
115.422507,518.144159,10436.903782,2528.115143
115.422817,-2590.720797,9992.780217,2374.896044
115.423126,-0.000000,4885.359217,612.876398
115.423436,2590.720797,6957.935855,-383.047749
115.423745,-74.020594,7031.956449,-3217.601092
115.424055,1850.514855,6661.853478,-3140.991542
115.424364,-962.267725,7994.224174,-1149.143247
115.424674,-4071.132681,6661.853478,612.876398
115.424983,1628.453072,8068.244768,306.438199
115.425292,2368.659014,7031.956449,-6511.811733
115.425602,-0.000000,7846.182985,-5362.668486
115.425911,-296.082377,9474.636058,612.876398
115.426221,-1924.535449,11621.233289,1532.190996
115.426530,5773.606348,14137.933492,1072.533697
115.426840,2812.782580,9474.636058,-3294.210641
115.427149,370.102971,9400.615463,-1149.143247
115.427459,-1184.329507,10140.821405,4443.353888
115.427768,-2072.576638,12213.398043,3370.820191
115.428078,1184.329507,10807.006753,-4519.963438
115.428387,3849.070898,13767.830521,-8810.098227
115.428697,2294.638420,10066.800811,-4903.011187
115.429006,-0.000000,11843.295072,1608.800546
115.429315,-2220.617826,12583.501014,1532.190996
115.429625,-1184.329507,11399.171507,2911.162892
115.429934,6217.729913,11843.295072,-1991.848295
115.430244,962.267725,6143.709319,-5975.544884
115.430553,-2368.659014,8882.471304,-842.705048
115.430863,-5107.421000,8956.491898,3983.696590
115.431172,-1184.329507,9844.739029,-2528.115143
115.431482,3478.967927,10955.047942,-9422.974625
115.431791,666.185348,6735.874072,-7354.516781
115.432101,-1480.411884,7920.203579,1991.848295
115.432410,-2812.782580,8512.368333,4136.915689
115.432720,-1406.391290,7698.141797,2451.505594
115.433029,2294.638420,8216.285956,-1685.410096
115.433339,2738.761985,7105.977043,-6741.640382
115.433648,-3997.112087,8290.306550,-1991.848295
115.433957,-3034.844362,10436.903782,2451.505594
115.434267,-1702.473667,12213.398043,0.000000
115.434576,814.226536,14952.160028,-5822.325785
115.434886,3552.988522,9252.574275,-6435.202183
115.435195,-2738.761985,6883.915261,-2451.505594
115.435505,-3108.864956,12805.562797,2528.115143
115.435814,-0.000000,9030.512492,3524.039291
115.436124,5699.585753,13027.624579,-612.876398
115.436433,5847.626942,8882.471304,-4903.011187
115.436743,-1850.514855,8142.265362,2374.896044
115.437052,-3256.906145,9622.677246,5439.278036
115.437362,-3552.988522,8808.450710,-689.485948
115.437671,-2442.679609,13989.892304,-4826.401637
115.437980,518.144159,10807.006753,-10725.336972
115.438290,2812.782580,8438.347739,-13483.280765
115.438599,-2220.617826,13915.871710,-3064.381992
115.438909,-6661.853478,9326.594869,8963.317327
115.439218,1554.432478,8364.327145,1455.581446
115.439528,4737.318029,7624.121203,-2834.553343
115.439837,-814.226536,1776.494261,612.876398
115.440147,-1110.308913,5403.503377,5745.716235
115.440456,-3404.947333,7105.977043,-2221.676944
115.440766,-2442.679609,8364.327145,-6128.763984
115.441075,3330.926739,14508.036463,-7967.393179
115.441385,2146.597232,7624.121203,-13023.623466
115.441694,-0.000000,10066.800811,-3907.087040
115.442004,-4071.132681,15470.304188,7277.907231
115.442313,-2146.597232,8068.244768,4673.182538
115.442622,9548.656652,8142.265362,-1072.533697
115.442932,2886.803174,5329.482782,-4136.915689
115.443241,-1850.514855,5921.647536,2681.334243
115.443551,-4145.153275,13989.892304,9806.022374
115.443860,-1628.453072,10214.842000,-1378.971896
115.444170,7031.956449,14285.974681,-11338.213370
115.444479,814.226536,12065.356855,-8427.050478
115.444789,-3701.029710,10140.821405,-2681.334243
115.445098,-0.000000,11473.192101,1838.629195
115.445408,-592.164754,8808.450710,1225.752797
115.445717,2960.823768,10288.862594,1685.410096
115.446027,4441.235652,6735.874072,153.219100
115.446336,3108.864956,3923.091493,1991.848295
115.446645,-2886.803174,8586.388927,4136.915689
115.446955,-5255.462188,8512.368333,2911.162892
115.447264,1480.411884,12139.377449,-6588.421283
115.447574,4885.359217,10732.986159,-13559.890315
115.447883,-518.144159,7031.956449,-10648.727422
115.448193,-5699.585753,10288.862594,2911.162892
115.448502,-2516.700203,5773.606348,6665.030833
115.448812,1184.329507,5847.626942,2145.067394
115.449121,3552.988522,6069.688724,-5898.935335
115.449431,1110.308913,2442.679609,-1532.190996
115.449740,-4071.132681,8438.347739,3140.991542
115.450050,-3849.070898,9918.759623,2757.943793
115.450359,666.185348,10214.842000,-6741.640382
115.450669,5847.626942,14434.015869,-9652.803275
115.450978,-0.000000,11103.089130,-7814.174080
115.451287,-3108.864956,10955.047942,3907.087040
115.451597,-1406.391290,13693.809927,5592.497135
115.451906,3923.091493,10510.924376,612.876398
115.452216,4219.173869,10140.821405,2374.896044
115.452525,-962.267725,6069.688724,2451.505594
115.452835,-148.041188,6957.935855,-766.095498
115.453144,-1332.370696,10140.821405,-1072.533697
115.453454,-7031.956449,10214.842000,2451.505594
115.453763,2516.700203,14804.118840,-5975.544884
115.454073,5329.482782,10510.924376,-13866.328514
115.454382,-1702.473667,11103.089130,-6052.154434
115.454692,-5699.585753,10807.006753,10035.851024
115.455001,-1184.329507,7920.203579,7431.126331
115.455310,5403.503377,9030.512492,-2528.115143
115.455620,4293.194464,6735.874072,-2911.162892
115.455929,-3627.009116,2442.679609,3524.039291
115.456239,-3108.864956,6439.791695,2911.162892
115.456548,-4145.153275,8142.265362,-3064.381992
115.456858,-814.226536,11399.171507,-6818.249932
115.457167,1998.556043,9844.739029,-10495.508323
115.457477,-1850.514855,9770.718434,-7737.564530
115.457786,-1628.453072,13027.624579,2298.286494
115.458096,-0.000000,9400.615463,4060.306139
115.458405,4663.297435,8438.347739,1915.238745
115.458715,3627.009116,8882.471304,2604.724693
115.459024,-148.041188,4367.215058,2834.553343
115.459334,222.061783,6957.935855,2911.162892
