#time,accel_x,accel_y,accel_z
76.892856,-0.000000,9844.739029,-1838.629195
76.893165,1332.370696,8956.491898,0.000000
76.893475,148.041188,9844.739029,0.000000
76.893785,-0.000000,8882.471304,-459.657299
76.894094,-0.000000,8438.347739,-1762.019645
76.894404,-518.144159,8882.471304,-1991.848295
76.894714,-0.000000,8882.471304,-1991.848295
76.895023,-0.000000,10140.821405,-1225.752797
76.895333,-0.000000,10288.862594,0.000000
76.895643,370.102971,10214.842000,-383.047749
76.895952,444.123565,9474.636058,-383.047749
76.896262,-0.000000,8216.285956,-1532.190996
76.896572,-444.123565,8660.409521,-1149.143247
76.896881,-148.041188,9252.574275,-1608.800546
76.897191,1258.350101,10066.800811,-1608.800546
76.897500,-0.000000,10214.842000,-842.705048
76.897810,592.164754,10362.883188,-536.266849
76.898120,444.123565,9622.677246,0.000000
76.898429,-740.205942,7624.121203,-536.266849
76.898739,-1776.494261,8808.450710,1225.752797
76.899049,-0.000000,9474.636058,-1762.019645
76.899358,592.164754,9622.677246,-1149.143247
76.899668,148.041188,9400.615463,-306.438199
76.899978,370.102971,9104.533087,1455.581446
76.900287,1184.329507,8142.265362,-153.219100
76.900597,3997.112087,5551.544565,-306.438199
76.900907,3627.009116,6661.853478,4366.744339
76.901216,2220.617826,6587.832884,11491.432470
76.901526,-666.185348,5403.503377,13406.671215
76.901835,4515.256246,7624.121203,9806.022374
76.902145,6143.709319,6439.791695,3677.258390
76.902455,1924.535449,6587.832884,4979.620737
76.902764,-2664.741391,9474.636058,13942.938064
76.903074,-0.000000,11251.130318,16011.395908
76.903384,1850.514855,11843.295072,4290.134789
76.903693,-148.041188,12953.603985,6741.640382
76.904003,-2072.576638,13175.665768,11031.775171
76.904313,-4885.359217,13619.789333,9882.631924
76.904622,-2072.576638,17320.819043,3140.991542
76.904932,6661.853478,13767.830521,1685.410096
76.905242,962.267725,15766.386565,10495.508323
76.905551,-13545.768739,10584.944971,24055.398637
76.905861,-888.247130,17838.963202,9576.193725
76.906170,1036.288319,8882.471304,-5209.449386
76.906480,592.164754,11917.315666,919.314598
76.906790,-10362.883188,5255.462188,13406.671215
76.907099,-148.041188,9992.780217,6358.592633
76.907409,-296.082377,3256.906145,8044.002729
76.907719,-3108.864956,4219.173869,15858.176809
76.908028,4589.276840,2812.782580,14785.643111
76.908338,-2960.823768,-888.247130,10955.165621
76.908648,2368.659014,3997.112087,13789.718964
76.908957,-7105.977043,7550.100608,14096.157163
76.909267,962.267725,9474.636058,-536.266849
76.909577,1110.308913,10658.965565,-1685.410096
76.909886,1998.556043,13471.748144,1838.629195
76.910196,1776.494261,9178.553681,6205.373534
76.910505,-740.205942,9770.718434,16088.005458
