#time,accel_x,accel_y,accel_z
104.393093,370.102971,10288.862594,229.828649
104.393403,1628.453072,8882.471304,-2528.115143
104.393713,-148.041188,8660.409521,-1608.800546
104.394023,-74.020594,8956.491898,-1991.848295
104.394332,-148.041188,9030.512492,-2451.505594
104.394642,-0.000000,9770.718434,2374.896044
104.394952,-0.000000,10658.965565,-229.828649
104.395262,1184.329507,9400.615463,-1072.533697
104.395571,370.102971,8882.471304,-1608.800546
104.395881,222.061783,8808.450710,-1225.752797
104.396191,1332.370696,8586.388927,-1915.238745
104.396501,-444.123565,9918.759623,-766.095498
104.396810,-518.144159,9770.718434,-1225.752797
104.397120,1036.288319,9474.636058,-2145.067394
104.397430,74.020594,9992.780217,-2221.676944
104.397740,-666.185348,8216.285956,-383.047749
104.398049,296.082377,9548.656652,0.000000
104.398359,-0.000000,9104.533087,-536.266849
104.398669,1110.308913,8808.450710,-1685.410096
104.398979,-1406.391290,8512.368333,383.047749
104.399288,148.041188,9548.656652,-1072.533697
104.399598,370.102971,10066.800811,-536.266849
104.399908,222.061783,8364.327145,76.609550
104.400218,888.247130,8660.409521,1225.752797
104.400527,740.205942,7031.956449,-2451.505594
104.400837,4737.318029,7031.956449,842.705048
104.401147,1924.535449,7624.121203,9116.536426
104.401457,592.164754,6439.791695,10342.289223
104.401766,2146.597232,5995.668130,10035.851024
104.402076,6143.709319,7772.162391,6818.249932
104.402386,3108.864956,5847.626942,5209.449386
104.402696,-1924.535449,8808.450710,11414.822920
104.403005,-74.020594,11917.315666,12563.966167
104.403315,-148.041188,11843.295072,3064.381992
104.403625,1554.432478,12805.562797,4673.182538
104.403935,-1924.535449,12657.521608,11568.042020
104.404244,-15100.201217,16580.613101,13406.671215
104.404554,24056.693115,18727.210333,-4060.306139
104.404864,-10584.944971,6513.812290,1378.971896
104.405174,-3108.864956,15840.407159,20378.140247
104.405483,-20059.581028,9770.718434,28039.095227
104.405793,4145.153275,16876.695478,-612.876398
104.406103,10658.965565,9918.759623,-4979.620737
104.406413,-8956.491898,11177.109724,6741.640382
104.406723,-5625.565159,11399.171507,9039.926876
104.407032,-2664.741391,7550.100608,3983.696590
104.407342,-814.226536,7105.977043,7277.907231
104.407652,-2812.782580,2886.803174,18845.949251
104.407962,3404.947333,2812.782580,11031.775171
104.408271,-5403.503377,-962.267725,12257.527968
104.408581,3108.864956,3404.947333,14325.985813
104.408891,1036.288319,8364.327145,7584.345430
104.409201,-1924.535449,6809.894666,3830.477490
104.409510,-518.144159,12953.603985,8580.269578
104.409820,-0.000000,12657.521608,1455.581446
104.410130,7550.100608,11769.274478,-3677.258390
104.410440,518.144159,11843.295072,15092.081311
104.410749,-296.082377,7994.224174,25510.980083
104.411059,1406.391290,5255.462188,17237.148705
104.411369,3478.967927,6957.935855,9499.584175
104.411679,-1036.288319,8586.388927,9116.536426
104.411988,3997.112087,11547.212695,383.047749
104.412298,5181.441594,15914.427753,-4136.915689
104.412608,518.144159,15988.448347,7354.516781
104.412918,-4959.379811,14952.160028,15934.786358
104.413227,-5255.462188,11103.089130,14325.985813
104.413537,1924.535449,11103.089130,3600.648841
104.413847,6883.915261,8512.368333,-4366.744339
104.414157,2368.659014,8068.244768,1225.752797
104.414466,-518.144159,8364.327145,15321.909960
104.414776,-1850.514855,8586.388927,16317.834107
104.415086,3256.906145,7920.203579,6665.030833
104.415396,4515.256246,5107.421000,76.609550
104.415705,-3552.988522,2072.576638,4290.134789
104.416015,-7476.080014,7402.059420,7584.345430
104.416325,-370.102971,8956.491898,0.000000
104.416635,7846.182985,8734.430116,-6894.859482
104.416944,5921.647536,8660.409521,3140.991542
104.417254,-6883.915261,5847.626942,19688.654299
104.417564,-7772.162391,9918.759623,22216.769442
104.417874,3775.050304,11177.109724,4519.963438
104.418183,4959.379811,9400.615463,-7124.688131
104.418493,-3256.906145,11695.253884,1455.581446
104.418803,-8808.450710,13471.748144,4136.915689
104.419113,3775.050304,14804.118840,-8273.831378
104.419422,8512.368333,14211.954086,-3983.696590
104.419732,-3923.091493,9326.594869,19535.435199
104.420042,-7698.141797,6661.853478,28192.314326
104.420352,1110.308913,-3256.906145,8580.269578
104.420661,-4589.276840,1554.432478,-5515.887586
104.420971,2664.741391,9696.697840,1532.190996
104.421281,-13619.789333,1480.411884,2145.067394
104.421591,12731.542202,16210.510130,-6971.469032
104.421900,3108.864956,4959.379811,-536.266849
104.422210,-6587.832884,8808.450710,17160.539155
104.422520,-7624.121203,3775.050304,27732.657028
104.422830,2072.576638,4737.318029,4826.401637
104.423139,4145.153275,9770.718434,-11644.651570
104.423449,-1184.329507,13989.892304,-7354.516781
104.423759,3923.091493,13619.789333,-6971.469032
104.424069,444.123565,11917.315666,-2528.115143
104.424378,-518.144159,16358.551318,10725.336972
104.424688,-5625.565159,10214.842000,18309.682402
104.424998,-4293.194464,8808.450710,5898.935335
104.425308,-3701.029710,11547.212695,4366.744339
104.425617,5995.668130,11991.336260,-8273.831378
104.425927,12361.439231,11843.295072,-20531.359346
104.426237,-2368.659014,11177.109724,-1838.629195
104.426547,-3034.844362,16506.592507,21603.893044
104.426856,5625.565159,11769.274478,7201.297681
104.427166,2590.720797,7698.141797,-4519.963438
104.427476,-11251.130318,9844.739029,15398.519510
104.427786,2886.803174,8734.430116,5132.839837
104.428095,11547.212695,4515.256246,-22063.550342
104.428405,-444.123565,5995.668130,-4903.011187
104.428715,-4441.235652,7624.121203,21757.112143
104.429025,2516.700203,6069.688724,4979.620737
104.429334,2368.659014,7105.977043,-2987.772442
104.429644,-2590.720797,8808.450710,9499.584175
104.429954,1702.473667,8808.450710,5669.106685
104.430264,666.185348,3923.091493,-6818.249932
104.430573,-3775.050304,10436.903782,4519.963438
104.430883,-4071.132681,9178.553681,9039.926876
104.431193,-518.144159,7994.224174,-6741.640382
104.431503,-370.102971,13767.830521,-7584.345430
104.431812,-5033.400406,20207.622217,2528.115143
104.432122,-1702.473667,15618.345376,459.657299
104.432432,1332.370696,10955.047942,-6281.983084
104.432742,-2886.803174,11473.192101,2834.553343
104.433051,-5329.482782,7846.182985,3524.039291
104.433361,4219.173869,5551.544565,-10725.336972
104.433671,3775.050304,10214.842000,-7354.516781
104.433981,-5329.482782,12657.521608,8963.317327
104.434290,-1480.411884,9252.574275,5056.230287
104.434600,3108.864956,9400.615463,-3524.039291
104.434910,-4441.235652,7402.059420,-3294.210641
104.435220,-2960.823768,2590.720797,-9039.926876
104.435529,3552.988522,7402.059420,-10572.117872
104.435839,370.102971,9548.656652,-4213.525239
104.436149,-2146.597232,9474.636058,3217.601092
104.436459,814.226536,11843.295072,10801.946522
104.436768,814.226536,7476.080014,5132.839837
104.437078,2812.782580,1850.514855,-9269.755526
104.437388,5477.523971,6217.729913,-6894.859482
104.437698,1258.350101,8068.244768,-1915.238745
104.438007,3330.926739,8512.368333,-3600.648841
104.438317,4663.297435,12287.418637,3677.258390
104.438627,-5181.441594,11029.068536,7814.174080
104.438937,74.020594,8512.368333,-7354.516781
104.439246,8660.409521,8068.244768,-12257.527968
104.439556,1480.411884,10436.903782,-4213.525239
104.439866,296.082377,11991.336260,1225.752797
104.440176,7031.956449,9548.656652,689.485948
104.440485,666.185348,9474.636058,3447.429741
104.440795,-2368.659014,6809.894666,1762.019645
104.441105,1924.535449,6439.791695,-3907.087040
104.441415,222.061783,12287.418637,-2374.896044
104.441724,888.247130,13545.768739,-4749.792088
104.442034,1628.453072,14582.057057,-6894.859482
104.442344,-7254.018232,14211.954086,0.000000
104.442654,-5107.421000,8956.491898,-4673.182538
104.442963,3108.864956,7031.956449,-15934.786358
104.443273,-1702.473667,10362.883188,-11491.432470
104.443583,-5995.668130,9622.677246,7737.564530
104.443893,1332.370696,9326.594869,2681.334243
104.444202,-518.144159,6291.750507,1149.143247
104.444512,-4441.235652,2590.720797,2528.115143
104.444822,-222.061783,3849.070898,-4979.620737
104.445132,2368.659014,7772.162391,-6971.469032
104.445441,-2146.597232,8734.430116,1915.238745
104.445751,-1924.535449,11251.130318,5286.058936
104.446061,296.082377,10955.047942,2604.724693
104.446371,-5773.606348,7476.080014,-995.924147
104.446680,-888.247130,9030.512492,-8810.098227
104.446990,6217.729913,10288.862594,-13176.842566
104.447300,-2812.782580,10140.821405,0.000000
104.447610,-3923.091493,10881.027347,13100.233016
104.447919,5625.565159,8586.388927,9729.412825
104.448229,3182.885551,7328.038826,3753.867940
104.448539,666.185348,5033.400406,3294.210641
104.448849,2072.576638,7105.977043,2374.896044
104.449158,-0.000000,11251.130318,-1685.410096
104.449468,2072.576638,11251.130318,-383.047749
104.449778,-0.000000,12731.542202,3677.258390
104.450088,-5477.523971,12435.459826,2145.067394
104.450397,-2960.823768,9104.533087,-10955.165621
